SSID,SubCarrier_index,amplitude,phase,RSSI,BSSID
UNKNOWN,38,19.31,-0.37,-24,58:00:e3:7a:a5:eb
UNKNOWN,39,18.97,-0.32,-24,58:00:e3:7a:a5:eb
UNKNOWN,40,19.65,-0.26,-24,58:00:e3:7a:a5:eb
UNKNOWN,41,20.62,-0.24,-24,58:00:e3:7a:a5:eb
UNKNOWN,42,20.62,-0.24,-24,58:00:e3:7a:a5:eb
UNKNOWN,43,20.4,-0.2,-24,58:00:e3:7a:a5:eb
UNKNOWN,44,20.22,-0.15,-24,58:00:e3:7a:a5:eb
UNKNOWN,45,20.22,-0.15,-24,58:00:e3:7a:a5:eb
UNKNOWN,46,20.22,-0.15,-24,58:00:e3:7a:a5:eb
UNKNOWN,47,21.21,-0.14,-24,58:00:e3:7a:a5:eb
UNKNOWN,48,22.2,-0.14,-24,58:00:e3:7a:a5:eb
UNKNOWN,49,22.2,-0.14,-24,58:00:e3:7a:a5:eb
UNKNOWN,50,22.2,-0.14,-24,58:00:e3:7a:a5:eb
UNKNOWN,51,21.21,-0.14,-24,58:00:e3:7a:a5:eb
UNKNOWN,52,21.1,-0.09,-24,58:00:e3:7a:a5:eb
UNKNOWN,53,22.36,-0.18,-24,58:00:e3:7a:a5:eb
UNKNOWN,54,20.1,-0.1,-24,58:00:e3:7a:a5:eb
UNKNOWN,55,20.22,-0.15,-24,58:00:e3:7a:a5:eb
UNKNOWN,56,21.38,-0.19,-24,58:00:e3:7a:a5:eb
UNKNOWN,57,21.38,-0.19,-24,58:00:e3:7a:a5:eb
UNKNOWN,58,21.59,-0.23,-24,58:00:e3:7a:a5:eb
UNKNOWN,59,22.56,-0.22,-24,58:00:e3:7a:a5:eb
UNKNOWN,60,20.62,-0.24,-24,58:00:e3:7a:a5:eb
UNKNOWN,61,22.8,-0.27,-24,58:00:e3:7a:a5:eb
UNKNOWN,62,24.04,-0.3,-24,58:00:e3:7a:a5:eb
UNKNOWN,63,23.09,-0.31,-24,58:00:e3:7a:a5:eb
UNKNOWN,0,133.9,2.77,-23,58:00:e3:7a:a5:eb
UNKNOWN,1,8,0,-23,58:00:e3:7a:a5:eb
UNKNOWN,2,24.84,-2.44,-23,58:00:e3:7a:a5:eb
UNKNOWN,3,24.08,-2.41,-23,58:00:e3:7a:a5:eb
UNKNOWN,4,23.43,-2.45,-23,58:00:e3:7a:a5:eb
UNKNOWN,5,22.02,-2.45,-23,58:00:e3:7a:a5:eb
UNKNOWN,6,22.8,-2.48,-23,58:00:e3:7a:a5:eb
UNKNOWN,7,22.2,-2.52,-23,58:00:e3:7a:a5:eb
UNKNOWN,8,21.4,-2.49,-23,58:00:e3:7a:a5:eb
UNKNOWN,9,21.63,-2.55,-23,58:00:e3:7a:a5:eb
UNKNOWN,10,21.63,-2.55,-23,58:00:e3:7a:a5:eb
UNKNOWN,11,21.95,-2.62,-23,58:00:e3:7a:a5:eb
UNKNOWN,12,20.25,-2.57,-23,58:00:e3:7a:a5:eb
UNKNOWN,13,20.59,-2.63,-23,58:00:e3:7a:a5:eb
UNKNOWN,14,20.59,-2.63,-23,58:00:e3:7a:a5:eb
UNKNOWN,15,20.25,-2.57,-23,58:00:e3:7a:a5:eb
UNKNOWN,16,19.72,-2.61,-23,58:00:e3:7a:a5:eb
UNKNOWN,17,19.72,-2.61,-23,58:00:e3:7a:a5:eb
UNKNOWN,18,19.72,-2.61,-23,58:00:e3:7a:a5:eb
UNKNOWN,19,18.87,-2.58,-23,58:00:e3:7a:a5:eb
UNKNOWN,20,18.03,-2.55,-23,58:00:e3:7a:a5:eb
UNKNOWN,21,18.03,-2.55,-23,58:00:e3:7a:a5:eb
UNKNOWN,22,17.2,-2.52,-23,58:00:e3:7a:a5:eb
UNKNOWN,23,17.2,-2.52,-23,58:00:e3:7a:a5:eb
UNKNOWN,24,17.2,-2.52,-23,58:00:e3:7a:a5:eb
UNKNOWN,25,17.03,-2.44,-23,58:00:e3:7a:a5:eb
UNKNOWN,26,16.28,-2.4,-23,58:00:e3:7a:a5:eb
UNKNOWN,27,0,0,-23,58:00:e3:7a:a5:eb
UNKNOWN,28,0,0,-23,58:00:e3:7a:a5:eb
UNKNOWN,29,0,0,-23,58:00:e3:7a:a5:eb
UNKNOWN,30,0,0,-23,58:00:e3:7a:a5:eb
UNKNOWN,31,0,0,-23,58:00:e3:7a:a5:eb
UNKNOWN,32,0,0,-23,58:00:e3:7a:a5:eb
UNKNOWN,33,0,0,-23,58:00:e3:7a:a5:eb
UNKNOWN,34,0,0,-23,58:00:e3:7a:a5:eb
UNKNOWN,35,0,0,-23,58:00:e3:7a:a5:eb
UNKNOWN,36,0,0,-23,58:00:e3:7a:a5:eb
UNKNOWN,37,0,0,-23,58:00:e3:7a:a5:eb
UNKNOWN,38,21.26,-2.42,-23,58:00:e3:7a:a5:eb
UNKNOWN,39,21.93,-2.32,-23,58:00:e3:7a:a5:eb
UNKNOWN,40,22.67,-2.29,-23,58:00:e3:7a:a5:eb
UNKNOWN,41,22.67,-2.29,-23,58:00:e3:7a:a5:eb
UNKNOWN,42,22.8,-2.23,-23,58:00:e3:7a:a5:eb
UNKNOWN,43,22.8,-2.23,-23,58:00:e3:7a:a5:eb
UNKNOWN,44,22.8,-2.23,-23,58:00:e3:7a:a5:eb
UNKNOWN,45,23.02,-2.17,-23,58:00:e3:7a:a5:eb
UNKNOWN,46,23.6,-2.21,-23,58:00:e3:7a:a5:eb
UNKNOWN,47,24.41,-2.18,-23,58:00:e3:7a:a5:eb
UNKNOWN,48,25.24,-2.16,-23,58:00:e3:7a:a5:eb
UNKNOWN,49,25.24,-2.16,-23,58:00:e3:7a:a5:eb
UNKNOWN,50,23.32,-2.11,-23,58:00:e3:7a:a5:eb
UNKNOWN,51,23.85,-2.15,-23,58:00:e3:7a:a5:eb
UNKNOWN,52,23.02,-2.17,-23,58:00:e3:7a:a5:eb
UNKNOWN,53,25,-2.21,-23,58:00:e3:7a:a5:eb
UNKNOWN,54,23.02,-2.17,-23,58:00:e3:7a:a5:eb
UNKNOWN,55,23.02,-2.17,-23,58:00:e3:7a:a5:eb
UNKNOWN,56,23.02,-2.17,-23,58:00:e3:7a:a5:eb
UNKNOWN,57,23.43,-2.27,-23,58:00:e3:7a:a5:eb
UNKNOWN,58,23.43,-2.27,-23,58:00:e3:7a:a5:eb
UNKNOWN,59,24.84,-2.27,-23,58:00:e3:7a:a5:eb
UNKNOWN,60,23.43,-2.27,-23,58:00:e3:7a:a5:eb
UNKNOWN,61,24.84,-2.27,-23,58:00:e3:7a:a5:eb
UNKNOWN,62,25.46,-2.36,-23,58:00:e3:7a:a5:eb
UNKNOWN,63,24.76,-2.33,-23,58:00:e3:7a:a5:eb
UNKNOWN,0,128.89,0.84,-24,58:00:e3:7a:a5:eb
UNKNOWN,1,5,0,-24,58:00:e3:7a:a5:eb
UNKNOWN,2,23.26,2.7,-24,58:00:e3:7a:a5:eb
UNKNOWN,3,22.85,2.74,-24,58:00:e3:7a:a5:eb
UNKNOWN,4,22.83,2.64,-24,58:00:e3:7a:a5:eb
UNKNOWN,5,21.93,2.72,-24,58:00:e3:7a:a5:eb
UNKNOWN,6,22.83,2.64,-24,58:00:e3:7a:a5:eb
