SSID,SubCarrier_index,amplitude,phase,RSSI,BSSID
Home 2.4GHz,38,13.04,1.49,-40,5c:64:8e:d0:09:a5
Home 2.4GHz,39,12,1.57,-40,5c:64:8e:d0:09:a5
Home 2.4GHz,40,11,1.57,-40,5c:64:8e:d0:09:a5
Home 2.4GHz,41,9.06,1.68,-40,5c:64:8e:d0:09:a5
Home 2.4GHz,42,7.07,1.71,-40,5c:64:8e:d0:09:a5
Home 2.4GHz,43,5.39,1.95,-40,5c:64:8e:d0:09:a5
Home 2.4GHz,44,4.24,2.36,-40,5c:64:8e:d0:09:a5
Home 2.4GHz,45,5.1,2.94,-40,5c:64:8e:d0:09:a5
Home 2.4GHz,46,6.08,-2.98,-40,5c:64:8e:d0:09:a5
Home 2.4GHz,47,8.54,-2.78,-40,5c:64:8e:d0:09:a5
Home 2.4GHz,48,11.18,-2.68,-40,5c:64:8e:d0:09:a5
Home 2.4GHz,49,13.42,-2.68,-40,5c:64:8e:d0:09:a5
Home 2.4GHz,50,14.76,-2.65,-40,5c:64:8e:d0:09:a5
Home 2.4GHz,51,16.55,-2.7,-40,5c:64:8e:d0:09:a5
Home 2.4GHz,52,16.16,-2.76,-40,5c:64:8e:d0:09:a5
Home 2.4GHz,53,17.09,-2.78,-40,5c:64:8e:d0:09:a5
Home 2.4GHz,54,15.81,-2.82,-40,5c:64:8e:d0:09:a5
Home 2.4GHz,55,15.52,-2.88,-40,5c:64:8e:d0:09:a5
Home 2.4GHz,56,13.34,-2.91,-40,5c:64:8e:d0:09:a5
Home 2.4GHz,57,11.18,-2.96,-40,5c:64:8e:d0:09:a5
Home 2.4GHz,58,9.22,-2.92,-40,5c:64:8e:d0:09:a5
Home 2.4GHz,59,6.32,-2.82,-40,5c:64:8e:d0:09:a5
Home 2.4GHz,60,5,-2.5,-40,5c:64:8e:d0:09:a5
Home 2.4GHz,61,4.12,-1.82,-40,5c:64:8e:d0:09:a5
Home 2.4GHz,62,5.1,-1.37,-40,5c:64:8e:d0:09:a5
Home 2.4GHz,63,7.62,-1.17,-40,5c:64:8e:d0:09:a5
Home 2.4GHz,64,0,0,-40,5c:64:8e:d0:09:a5
Home 2.4GHz,65,36.4,-0.92,-40,5c:64:8e:d0:09:a5
Home 2.4GHz,66,36.4,-0.92,-40,5c:64:8e:d0:09:a5
Home 2.4GHz,67,38.21,-0.82,-40,5c:64:8e:d0:09:a5
Home 2.4GHz,68,36.07,-0.81,-40,5c:64:8e:d0:09:a5
Home 2.4GHz,69,36.8,-0.75,-40,5c:64:8e:d0:09:a5
Home 2.4GHz,70,34.06,-0.7,-40,5c:64:8e:d0:09:a5
Home 2.4GHz,71,34.21,-0.66,-40,5c:64:8e:d0:09:a5
Home 2.4GHz,72,35.23,-0.6,-40,5c:64:8e:d0:09:a5
Home 2.4GHz,73,33.29,-0.57,-40,5c:64:8e:d0:09:a5
Home 2.4GHz,74,33.62,-0.53,-40,5c:64:8e:d0:09:a5
Home 2.4GHz,75,32.7,-0.41,-40,5c:64:8e:d0:09:a5
Home 2.4GHz,76,32.31,-0.38,-40,5c:64:8e:d0:09:a5
Home 2.4GHz,77,33.53,-0.3,-40,5c:64:8e:d0:09:a5
Home 2.4GHz,78,32.28,-0.28,-40,5c:64:8e:d0:09:a5
Home 2.4GHz,79,31.26,-0.13,-40,5c:64:8e:d0:09:a5
Home 2.4GHz,80,30.15,-0.1,-40,5c:64:8e:d0:09:a5
Home 2.4GHz,81,32.02,0.03,-40,5c:64:8e:d0:09:a5
Home 2.4GHz,82,28.28,0.14,-40,5c:64:8e:d0:09:a5
Home 2.4GHz,83,27.46,0.18,-40,5c:64:8e:d0:09:a5
Home 2.4GHz,84,25.3,0.32,-40,5c:64:8e:d0:09:a5
Home 2.4GHz,85,23.77,0.39,-40,5c:64:8e:d0:09:a5
Home 2.4GHz,86,22.83,0.5,-40,5c:64:8e:d0:09:a5
Home 2.4GHz,87,23.85,0.58,-40,5c:64:8e:d0:09:a5
Home 2.4GHz,88,21.26,0.72,-40,5c:64:8e:d0:09:a5
Home 2.4GHz,89,16.97,0.79,-40,5c:64:8e:d0:09:a5
Home 2.4GHz,90,18.03,0.98,-40,5c:64:8e:d0:09:a5
Home 2.4GHz,91,18.36,1.06,-40,5c:64:8e:d0:09:a5
Home 2.4GHz,92,17.09,1.21,-40,5c:64:8e:d0:09:a5
Home 2.4GHz,93,0,0,-40,5c:64:8e:d0:09:a5
Home 2.4GHz,94,0,0,-40,5c:64:8e:d0:09:a5
Home 2.4GHz,95,0,0,-40,5c:64:8e:d0:09:a5
