SSID,SubCarrier_index,amplitude,phase,RSSI,BSSID
Home 2.4GHz,38,8.06,-2.62,-45,5c:64:8e:d0:09:a5
Home 2.4GHz,39,14.21,-2.46,-45,5c:64:8e:d0:09:a5
Home 2.4GHz,40,18.38,-2.36,-45,5c:64:8e:d0:09:a5
Home 2.4GHz,41,24.04,-2.36,-45,5c:64:8e:d0:09:a5
Home 2.4GHz,42,27.59,-2.33,-45,5c:64:8e:d0:09:a5
Home 2.4GHz,43,31.83,-2.33,-45,5c:64:8e:d0:09:a5
Home 2.4GHz,44,33.24,-2.33,-45,5c:64:8e:d0:09:a5
Home 2.4GHz,45,34.66,-2.34,-45,5c:64:8e:d0:09:a5
Home 2.4GHz,46,33.94,-2.36,-45,5c:64:8e:d0:09:a5
Home 2.4GHz,47,32.53,-2.36,-45,5c:64:8e:d0:09:a5
Home 2.4GHz,48,29.7,-2.36,-45,5c:64:8e:d0:09:a5
Home 2.4GHz,49,25.46,-2.36,-45,5c:64:8e:d0:09:a5
Home 2.4GHz,50,19.8,-2.36,-45,5c:64:8e:d0:09:a5
Home 2.4GHz,51,14.14,-2.36,-45,5c:64:8e:d0:09:a5
Home 2.4GHz,52,8.6,-2.19,-45,5c:64:8e:d0:09:a5
Home 2.4GHz,53,3.16,-1.25,-45,5c:64:8e:d0:09:a5
Home 2.4GHz,54,6,0,-45,5c:64:8e:d0:09:a5
Home 2.4GHz,55,12.37,0.24,-45,5c:64:8e:d0:09:a5
Home 2.4GHz,56,18.44,0.22,-45,5c:64:8e:d0:09:a5
Home 2.4GHz,57,23.77,0.26,-45,5c:64:8e:d0:09:a5
Home 2.4GHz,58,27.66,0.22,-45,5c:64:8e:d0:09:a5
Home 2.4GHz,59,31.58,0.19,-45,5c:64:8e:d0:09:a5
Home 2.4GHz,60,33.38,0.15,-45,5c:64:8e:d0:09:a5
Home 2.4GHz,61,35.23,0.11,-45,5c:64:8e:d0:09:a5
Home 2.4GHz,62,35.13,0.09,-45,5c:64:8e:d0:09:a5
Home 2.4GHz,63,34.06,0.06,-45,5c:64:8e:d0:09:a5
Home 2.4GHz,64,0,0,-45,5c:64:8e:d0:09:a5
Home 2.4GHz,65,30.15,0.1,-45,5c:64:8e:d0:09:a5
