Tile,BSSID_M21,RSSI_M21,BSSID_Alok's A34,RSSI_Alok's A34,BSSID_Home 2.4GHz,RSSI_Home 2.4GHz
1,22:16:99:0F:90:F2,-54,62:08:98:8F:BF:C4,-62,5C:64:8E:D0:09:A5,-63
1,22:16:99:0F:90:F2,-53,62:08:98:8F:BF:C4,-52,5C:64:8E:D0:09:A5,-66
2,22:16:99:0F:90:F2,-46,62:08:98:8F:BF:C4,-55,5C:64:8E:D0:09:A5,-57
2,22:16:99:0F:90:F2,-57,62:08:98:8F:BF:C4,-57,5C:64:8E:D0:09:A5,-65
3,22:16:99:0F:90:F2,-46,62:08:98:8F:BF:C4,-52,5C:64:8E:D0:09:A5,-57
3,22:16:99:0F:90:F2,-54,62:08:98:8F:BF:C4,-49,5C:64:8E:D0:09:A5,-66
4,22:16:99:0F:90:F2,-50,62:08:98:8F:BF:C4,-37,5C:64:8E:D0:09:A5,-62
4,22:16:99:0F:90:F2,-60,62:08:98:8F:BF:C4,-43,5C:64:8E:D0:09:A5,-60
5,22:16:99:0F:90:F2,-53,62:08:98:8F:BF:C4,-39,5C:64:8E:D0:09:A5,-56
5,22:16:99:0F:90:F2,-57,62:08:98:8F:BF:C4,-48,5C:64:8E:D0:09:A5,-61
6,22:16:99:0F:90:F2,-53,62:08:98:8F:BF:C4,-64,5C:64:8E:D0:09:A5,-54
6,22:16:99:0F:90:F2,-54,62:08:98:8F:BF:C4,-65,5C:64:8E:D0:09:A5,-51
7,22:16:99:0F:90:F2,-52,62:08:98:8F:BF:C4,-66,5C:64:8E:D0:09:A5,-59
7,22:16:99:0F:90:F2,-52,62:08:98:8F:BF:C4,-61,5C:64:8E:D0:09:A5,-54
8,22:16:99:0F:90:F2,-46,62:08:98:8F:BF:C4,-60,5C:64:8E:D0:09:A5,-64
8,22:16:99:0F:90:F2,-51,62:08:98:8F:BF:C4,-51,5C:64:8E:D0:09:A5,-54
9,22:16:99:0F:90:F2,-45,62:08:98:8F:BF:C4,-49,5C:64:8E:D0:09:A5,-72
9,22:16:99:0F:90:F2,-52,62:08:98:8F:BF:C4,-52,5C:64:8E:D0:09:A5,-64
10,22:16:99:0F:90:F2,-46,62:08:98:8F:BF:C4,-53,5C:64:8E:D0:09:A5,-62
10,22:16:99:0F:90:F2,-37,62:08:98:8F:BF:C4,-67,5C:64:8E:D0:09:A5,-61
11,22:16:99:0F:90:F2,-48,62:08:98:8F:BF:C4,-51,5C:64:8E:D0:09:A5,-70
11,22:16:99:0F:90:F2,-52,62:08:98:8F:BF:C4,-51,5C:64:8E:D0:09:A5,-69
12,22:16:99:0F:90:F2,-53,62:08:98:8F:BF:C4,-46,5C:64:8E:D0:09:A5,-69
12,22:16:99:0F:90:F2,-50,62:08:98:8F:BF:C4,-61,5C:64:8E:D0:09:A5,-72
13,22:16:99:0F:90:F2,-57,62:08:98:8F:BF:C4,-56,5C:64:8E:D0:09:A5,-71
